sha,date,safari-version,safari,servo-version,servo
ddb0338969cef9eff524930e62b2092f57089ca3,2024-01-01,185 preview,2144.9873712546405,Servo 0.0.1-f08ba0f,17246.877855725044
32017da5438b70bcf06057e28d695e121bcb0310,2024-01-08,185 preview,2149.0693274416417,Servo 0.0.1-c219204,17258.65199683905
9359c609fc260311dd33a1bff3c2da6e6ad2fdc7,2024-03-04,189 preview,2244.468798528144,Servo 0.0.1-50fdb82,17021.392788383484
1cee741beea79b4d6d80cc2738af5b971c87e040,2024-03-12,190 preview,2293.0486938365966,Servo 0.0.1-af3583a,16768.931151368863
2a5fc85b0613ad24f9b98dea72f9494a9a1ae9f5,2024-03-13,190 preview,2298.049133281474,Servo 0.0.1-d1fd8d5,16771.64352656455
b83bbdfc87212d5af05a3b0e0dd82c4fdf7031c1,2024-03-14,190 preview,2303.2450048411065,Servo 0.0.1-0fda142,16780.45215168933
ef526b13272a1f8358896245d44e5c1f59d12d6a,2024-03-15,190 preview,2299.2022526906267,Servo 0.0.1-f3a73db,16768.995144680146
298d1599dbf6255aea63506daaa1702ff0c4fdc5,2024-03-16,190 preview,2306.0480315343248,Servo 0.0.1-bc4f1c2,16743.977470594073
298d1599dbf6255aea63506daaa1702ff0c4fdc5,2024-03-17,190 preview,2324.0857772748227,Servo 0.0.1-8cfc6a1,16702.072364901163
7b6001a36b525fe94a64971ecc47fbb5f15b4462,2024-03-19,190 preview,2323.6441820539685,Servo 0.0.1-99ddab4,16701.884554127268
be17b15543820053c3493e570709ab5504936939,2024-03-20,190 preview,2323.1894608637845,Servo 0.0.1-228f4fb,16701.99652026113
33125ab6b58409b8216e4bf97c774a90b09ddf95,2024-03-21,190 preview,2326.8452666646476,Servo 0.0.1-0cf2cab,16677.679087017976
afef8ed9677588698ac7b2a5e608fa9ac32f4ef9,2024-03-22,190 preview,2562.3160958564554,Servo 0.0.1-2789e98,16457.71660404592
9820252a704761e8487ee98a5d523e7068104e22,2024-03-23,190 preview,2350.8492304729793,Servo 0.0.1-0b863de,16614.904194900024
9820252a704761e8487ee98a5d523e7068104e22,2024-03-24,190 preview,2351.128793965043,Servo 0.0.1-e22b61c,16617.07875893555
8c53b2ec0e6ff7171a601c1259b19577b246ec38,2024-03-26,190 preview,2350.7121272983763,Servo 0.0.1-5808157,16611.60919622232
c9e74b1951ab94eecb9b554486c3d30255d340ce,2024-03-27,190 preview,2601.912043895541,Servo 0.0.1-5808157,16366.582267234484
d6c9b797f371f92fb23681150148e9ec81a63510,2024-03-28,191 preview,2345.0582639710256,Servo 0.0.1-92b5578,16600.861139229804
57e5eb7b1a1871efbcbf34f457203e463b51a7e7,2024-03-29,191 preview,2337.55344862119,Servo 0.0.1-072b892,16601.706561526265
16f18d8135a80e89f2e910ca7548999fa2f7937e,2024-03-30,191 preview,2340.8824395199003,Servo 0.0.1-2d5a1cd,16607.997905920958
820b6449e01db26e2074e318388f480c7d6d957c,2024-03-31,191 preview,2340.4934454407417,Servo 0.0.1-92d9081,16597.01981650149
bd3b4d15f91c5b9b80295c81b890e45a44a9699a,2024-04-01,191 preview,2340.91828091402,Servo 0.0.1-fff9ef8,16593.78351556509
283b5a22e65166a6e779d7c845d625f7214909aa,2024-04-02,191 preview,2346.6805350626596,Servo 0.0.1-00c4d79,16594.19427074164
58d4f936dfa97887302643ba1669d787c50b76fa,2024-04-03,191 preview,2343.295717276204,Servo 0.0.1-da3991c,16597.4500554408
9417ab6082dc381eda5c3ef4f198c6a8cce03fe7,2024-04-04,191 preview,2348.5151424734427,Servo 0.0.1-cc082ef,16611.573967573735
cb7c664958a58f8a932dc03a540a1628913c200c,2024-04-05,191 preview,2352.0507846090845,Servo 0.0.1-1ed6b96,16620.31650821314
b73a0a32890ff293961eb55bb90ba57a5a711f48,2024-04-06,191 preview,2347.653331978532,Servo 0.0.1-f902a9f,16537.632350674743
b73a0a32890ff293961eb55bb90ba57a5a711f48,2024-04-07,191 preview,2349.1375066584274,Servo 0.0.1-1ffa61a,16542.866300984933
200bd3984e7bf2309fcd35bb41e2a3633dd711e6,2024-04-08,191 preview,2327.53010272448,Servo 0.0.1-05f1bbf,16531.448602763317
1267c0a912d444e0e76f07d23477cb2cd26ee05e,2024-04-09,191 preview,2328.544200637736,Servo 0.0.1-ddbec46,16531.131135583957
a57b6bdf00987cf820d34e268779232d1aea8709,2024-04-10,191 preview,2330.4367559149055,Servo 0.0.1-b79e2a0,16533.841673383842
fc4751b41508b9c0946c8ed193ed5d3760687bc8,2024-04-11,192 preview,2331.367917688707,Servo 0.0.1-245269c,16701.819463415293
e2b6a0217ab27012c3f18477dda3f9f8ff000592,2024-04-12,192 preview,2288.1365324904755,Servo 0.0.1-d9f067e,16703.93770776115
daa07cf3c47652ed67e637f2a39bbc34f91cfe10,2024-04-13,192 preview,2287.8918420681025,Servo 0.0.1-10ec856,16701.954225467583
daa07cf3c47652ed67e637f2a39bbc34f91cfe10,2024-04-14,192 preview,2314.292088046031,Servo 0.0.1-b74664d,16698.861016969677
c1247636413abebe66ca11a2ca3476de771c99cb,2024-04-16,192 preview,2323.387779937534,Servo 0.0.1-5083f3c,16673.620428474478
35c51ddbf46b97a34b6e6c5cb2ece486945a8f34,2024-04-17,192 preview,2324.100500163045,Servo 0.0.1-8bcb316,16679.225366324907
b6340736a1d3341df53ffa6955007ecb91e7f881,2024-04-18,192 preview,2322.8700608238946,Servo 0.0.1-6b2fa91,16674.12867141975
66fe5d470a9387e367d7c795249ed8d314bb5d37,2024-04-19,192 preview,2323.170371236996,Servo 0.0.1-5393d30,16681.657986312166
9da970663c1f0b5ba9ab4ab8d3cbdc6085bf939f,2024-04-20,192 preview,2323.089985521949,Servo 0.0.1-21ea6d2,16695.50478625452
16721f20b56afe2d23bc03af8e21431a3572c017,2024-04-21,192 preview,2323.157035444504,Servo 0.0.1-bcf538d,16696.237677600857
7d470849d6812256a4505c84b5688ccba89392a6,2024-04-22,192 preview,2320.6735530061537,Servo 0.0.1-bcf538d,16672.346267928657
43ae6cd615fad8cd6df2cade33ad48bfb9f285cb,2024-04-23,192 preview,2320.6281914947413,Servo 0.0.1-025a987,16670.670639261472
a21872ed9700126e9d059089790aaae809121ff3,2024-04-24,192 preview,2327.5237527663817,Servo 0.0.1-7ca9209,16656.856004027362
03304b662c44d39bf62fc76dfc59eac0f3f91a7b,2024-04-25,193 preview,2321.9226416552706,Servo 0.0.1-2272944,16654.50606805122
6ae7875d4162f8178de4bdce3da56887bce673e4,2024-04-26,193 preview,2323.436184419401,Servo 0.0.1-1440406,16662.82160238145
9687c4025746a35e803cd1a82c84f2a6dab2724c,2024-04-27,193 preview,2324.768399935822,Servo 0.0.1-81c4f2a,16670.96536420588
78709a81cc84279686438385b38572dd3ff44860,2024-04-28,193 preview,2324.760385158728,Servo 0.0.1-66563ed,16665.90548987783
8c6b479fae23badbb86e9c993f5b5fbb66e16905,2024-04-29,193 preview,2324.8840198772346,Servo 0.0.1-02b3dd0,16664.33772845749
4beb452219d4ae7397363f9af1ed742a5a3b278d,2024-04-30,193 preview,2324.7774484539423,Servo 0.0.1-1d6be62,16666.657027903813
72e17d23397dc0646b3da2fd23fe23b4dd36dcbe,2024-05-01,193 preview,2334.6355065894136,Servo 0.0.1-4715f64,16648.581764627706
e6fc479e68153ab3e72237a724dabbfb79802e44,2024-05-02,193 preview,2335.9832192550216,Servo 0.0.1-bccbc87,16635.966855523824
53e94aacf78b637035b0740f67e6ac17b8adc34e,2024-05-03,193 preview,2337.454370453548,Servo 0.0.1-0df79b9,16653.38044236789
5e8f71d73049d4fca2a8cbc62d40e821400f1624,2024-05-04,193 preview,2338.209358628118,Servo 0.0.1-160c7c0,16601.991852031013
536297144c737f84096d1f448e790de0fb654956,2024-05-05,193 preview,2341.189230383687,Servo 0.0.1-d297eb1,16602.92911561791
32fdd84c40b8dee1a81d968fda6a5f0a0ba7fee8,2024-05-06,193 preview,2341.557109984176,Servo 0.0.1-ff3cd14,16595.976653619167
e7c5d8babdb0b0ee53fc4240e62b85644898fbf4,2024-05-07,193 preview,2339.715452182479,Servo 0.0.1-ff3cd14,16601.593243869745
6813062aec0d15c12e292c3abbe584bf1a4cee8e,2024-05-08,193 preview,2339.278245250777,Servo 0.0.1-45f2433,16611.307860153564
61d40184e4b3d7aa0cca8c16cf3488e248c3ff04,2024-05-09,194 preview,2341.7100486373456,Servo 0.0.1-6a2e4a6,16634.483601515614
2478ccc81d380b92ff5c60d549e866cc80f1e0ab,2024-05-10,194 preview,2342.8837413700126,Servo 0.0.1-16803bc,16639.59180251343
d3dfe276ddb4138f147933d9dfa64d636a41af89,2024-05-11,194 preview,2344.7740685609792,Servo 0.0.1-b5be89a,16628.08129964494
d3dfe276ddb4138f147933d9dfa64d636a41af89,2024-05-12,194 preview,2345.768349600657,Servo 0.0.1-c2325cd,16623.872307503818
fd41fbc81f2c88f45721608aa7a97200ca402fa9,2024-05-13,194 preview,2345.6417000134925,Servo 0.0.1-2904c32,16625.843529101447
9acac680966804bdf62aae74afdbcef6020cf297,2024-05-14,194 preview,2344.2766643181935,Servo 0.0.1-3d4fd0e,16606.405400385214
53eba699dbe6d5366af14d726f42814fd86fc310,2024-05-15,194 preview,2346.9469399228497,Servo 0.0.1-1cd30c4,16645.155570545074
