sha,date,chrome-version,chrome,servo-version,servo
ddb0338969cef9eff524930e62b2092f57089ca3,2024-01-01,122.0.6182.0 dev,1042.5288050034105,Servo 0.0.1-f08ba0f,22443.522460488355
7c6e57968932c49879182ae0fbbe1a949484ccee,2024-01-08,122.0.6226.2 dev,1038.815494510825,Servo 0.0.1-c219204,22492.809464198846
0e6b5f34dd14802b51ba7587d4e32c818ac84101,2024-03-04,124.0.6338.0,1065.1407793442402,Servo 0.0.1-50fdb82,22248.852915850523
debf701f5a607a5138ed08adcc533c0ed0ce1a83,2024-03-11,124.0.6352.1,1049.958765334474,Servo 0.0.1-9dff1fe,22045.997952769587
fe171e2303895261ce353a580d39787894220aec,2024-03-12,124.0.6354.0,1049.7548797263055,Servo 0.0.1-af3583a,22048.37450935427
2a5fc85b0613ad24f9b98dea72f9494a9a1ae9f5,2024-03-13,124.0.6356.0,1055.3638072192923,Servo 0.0.1-d1fd8d5,22031.339849197364
f1adc2b2b78766d0dda7c2aae82e2e6fbc2b8b99,2024-03-14,124.0.6358.0,1052.5258854193798,Servo 0.0.1-0fda142,22040.770077102297
ddf5b1d83d7bd893030f1761af17deab9d9881c1,2024-03-15,124.0.6360.0,1051.9694060568554,Servo 0.0.1-f3a73db,21978.42881458804
2e2393b64365757d0814f7d4c31b1934f0b7516e,2024-03-16,124.0.6361.0,1051.0001682879372,Servo 0.0.1-bc4f1c2,22032.559257854184
2e2393b64365757d0814f7d4c31b1934f0b7516e,2024-03-17,124.0.6361.0,1058.887914028435,Servo 0.0.1-8cfc6a1,21980.14623360924
9b7f6daa78fbbe7a25948bf52e5b75d92b706567,2024-03-19,124.0.6367.0,1067.6915786303173,Servo 0.0.1-99ddab4,21956.791759161788
e690f9cd2ee2d2d70e7a812d069b974aace5ef23,2024-03-20,125.0.6369.0,1071.019379777717,Servo 0.0.1-228f4fb,21971.43781348826
88149528a94fdf769c29e129f8979859e39c339c,2024-03-21,125.0.6371.0,1073.0364481720815,Servo 0.0.1-0cf2cab,21941.577407405766
aab5ae6d81b0bd2b2ad3a9553de9d3da2f2bf675,2024-03-22,125.0.6373.0,1080.485970178524,Servo 0.0.1-2789e98,21973.918909274802
6013998d51498bea785fbf3d79ae10f06bb9c84e,2024-03-23,125.0.6374.0,1091.5920505799206,Servo 0.0.1-0b863de,21979.767384421575
6013998d51498bea785fbf3d79ae10f06bb9c84e,2024-03-24,125.0.6374.0,1092.5994391775614,Servo 0.0.1-e22b61c,21984.005721275094
685a2abda4b932365a08c6c8e2ef17b9f30dc442,2024-03-26,125.0.6379.3,1090.4649288024377,Servo 0.0.1-5808157,22028.30326934996
acabb88c580459224955c8c0fa0bddd6fd701f30,2024-03-27,125.0.6383.0,1090.9233839132537,Servo 0.0.1-5808157,21996.53574969447
6a072aeb9fcbaa56cab5e168cba7b706268c4d05,2024-03-28,125.0.6385.0,1084.3669184826547,Servo 0.0.1-92b5578,21979.213351788734
f8ae9c745b6250265ab2a83b093d9a151091c3d0,2024-03-29,125.0.6387.0,1081.9076159889053,Servo 0.0.1-072b892,21992.87397110286
16f18d8135a80e89f2e910ca7548999fa2f7937e,2024-03-30,125.0.6388.0,1076.1486161386165,Servo 0.0.1-2d5a1cd,21973.30811428261
820b6449e01db26e2074e318388f480c7d6d957c,2024-03-31,125.0.6389.0,1079.0138104307634,Servo 0.0.1-92d9081,21965.350043148675
3602a64862023f9a863fb0ec0f8f6f47834d8c6e,2024-04-01,125.0.6392.0,1077.9310351070778,Servo 0.0.1-fff9ef8,21996.752728371644
7b53a7e5c36c83728d6a7dc6ca0c39093f5f3cb3,2024-04-02,125.0.6395.0,1085.359009000356,Servo 0.0.1-00c4d79,21977.94644868738
4eb1146e69a52f0c98b68bf1ab051730b1c2b03d,2024-04-03,125.0.6397.0,1085.2875301265592,Servo 0.0.1-da3991c,21973.564049707904
fb0918ddcfa6cb7d76f37b8801350a0e941d3017,2024-04-04,125.0.6399.0,1085.3802517835813,Servo 0.0.1-cc082ef,22009.713534015347
e733e65472186b2067abe92088c26a62d2332b06,2024-04-05,125.0.6401.0,1089.4239231503313,Servo 0.0.1-1ed6b96,22025.213217623692
b73a0a32890ff293961eb55bb90ba57a5a711f48,2024-04-06,125.0.6402.0,1090.2647974915665,Servo 0.0.1-f902a9f,21970.773392448267
874514c9bbfd4ddb7fb0df437f533c27d9a72649,2024-04-07,125.0.6405.0,1088.213750407425,Servo 0.0.1-1ffa61a,21982.94414928724
4efc21ca79825ef2538c2dd703dfd57d91559a7f,2024-04-08,125.0.6406.0,1085.547455558378,Servo 0.0.1-05f1bbf,21943.68104931721
4efc21ca79825ef2538c2dd703dfd57d91559a7f,2024-04-09,125.0.6406.0,1086.3687465965036,Servo 0.0.1-ddbec46,21957.703763497782
321b4a774e2a8a10d7884bbc57cb9cc101140579,2024-04-10,125.0.6411.3,1089.0271126054026,Servo 0.0.1-b79e2a0,21941.266427015107
f95204fd4e0b4bba4c6c28a67958992791a28708,2024-04-11,125.0.6413.0,1092.151988259401,Servo 0.0.1-245269c,21958.634154605694
4013b5285c0977d16542695ae2ed47184730f331,2024-04-12,125.0.6415.0,1079.552387299068,Servo 0.0.1-d9f067e,21970.446456577563
